cluster,event_count,recency_days,unique_event_types,credits_purchased,credits_spent,views,avg_watch_time_sec,sessions_7d,user_count,pct_total
0,40.74,64.76,6.92,30.49,21.23,16.32,142.31,3.23,1942,38.84
1,39.53,80.57,6.92,6.86,2.51,11.92,101.58,2.09,3058,61.16
