fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0011792452830188679,0.95824719659109
0.0,0.3785377358490566,0.8443630272082575
0.006578947368421052,0.3785377358490566,0.8440690181152121
0.006578947368421052,0.43160377358490565,0.832540037461237
0.013157894736842105,0.43160377358490565,0.8325171356322485
0.013157894736842105,0.6827830188679245,0.7691314184126486
0.019736842105263157,0.6827830188679245,0.7686754400676302
0.019736842105263157,0.7004716981132075,0.763339538733275
0.02631578947368421,0.7004716981132075,0.7624301837529834
0.02631578947368421,0.7205188679245284,0.7571968267810167
0.03289473684210526,0.7205188679245284,0.7571333406774683
0.03289473684210526,0.7724056603773585,0.7352091246163427
0.039473684210526314,0.7724056603773585,0.7351751554436571
0.039473684210526314,0.8148584905660378,0.713634925624042
0.046052631578947366,0.8148584905660378,0.7131872179956353
0.046052631578947366,0.8856132075471698,0.6746939526093442
0.05263157894736842,0.8856132075471698,0.6731936472613794
0.05263157894736842,0.8950471698113207,0.6608304444995461
0.05921052631578947,0.8950471698113207,0.6575333056448355
0.05921052631578947,0.9150943396226415,0.6452025478317941
0.07236842105263158,0.9150943396226415,0.6424744948497821
0.07236842105263158,0.9198113207547169,0.6381922475330021
0.07894736842105263,0.9198113207547169,0.6361689765240621
0.07894736842105263,0.9280660377358491,0.6183741000858721
0.08552631578947369,0.9280660377358491,0.6182064166692883
0.08552631578947369,0.9363207547169812,0.6120593435874361
0.09210526315789473,0.9363207547169812,0.6100185721058061
0.09210526315789473,0.9375,0.6095706325560042
0.09868421052631579,0.9375,0.5999713961933238
0.09868421052631579,0.9410377358490566,0.5910151885998046
0.10526315789473684,0.9410377358490566,0.5894077003245617
0.10526315789473684,0.9445754716981132,0.5862365846079214
0.11842105263157894,0.9445754716981132,0.5815603494046434
0.11842105263157894,0.9528301886792453,0.5596565368716799
0.125,0.9528301886792453,0.5586533811491424
0.125,0.9563679245283019,0.5493888489343296
0.1513157894736842,0.9563679245283019,0.5331208782963357
0.1513157894736842,0.9575471698113207,0.5322294116471323
0.17105263157894737,0.9575471698113207,0.5244122688144073
0.17105263157894737,0.9587264150943396,0.5241120213956307
0.17763157894736842,0.9587264150943396,0.522794482819849
0.17763157894736842,0.9599056603773585,0.5162580377207837
0.20394736842105263,0.9599056603773585,0.5096911062000168
0.20394736842105263,0.9610849056603774,0.5040198862285572
0.21710526315789475,0.9610849056603774,0.49753380326015373
0.21710526315789475,0.9658018867924528,0.4745943083528116
0.23684210526315788,0.9658018867924528,0.45230907904317325
0.23684210526315788,0.9693396226415094,0.445085457665875
0.25,0.9693396226415094,0.4416355212520998
0.25,0.9705188679245284,0.4382090634386324
0.28289473684210525,0.9705188679245284,0.4264717172064721
0.28289473684210525,0.9716981132075472,0.4204604047594439
0.32894736842105265,0.9716981132075472,0.3970086209171671
0.32894736842105265,0.972877358490566,0.39596197944383327
0.34210526315789475,0.972877358490566,0.3916977140183664
0.34210526315789475,0.9740566037735849,0.3895775155906962
0.35526315789473684,0.9740566037735849,0.38084222436599335
0.35526315789473684,0.9752358490566038,0.376317808220789
0.4144736842105263,0.9752358490566038,0.3335220788135825
0.4144736842105263,0.9764150943396226,0.3323179694436239
0.4276315789473684,0.9764150943396226,0.32808815289613175
0.4276315789473684,0.9787735849056604,0.32041945792344895
0.4342105263157895,0.9787735849056604,0.3191891805973305
0.4342105263157895,0.9799528301886793,0.3040235431307553
0.4473684210526316,0.9799528301886793,0.2977652231565573
0.4473684210526316,0.9811320754716981,0.2977123948020628
0.47368421052631576,0.9811320754716981,0.2910334258086557
0.47368421052631576,0.9823113207547169,0.2899524099078537
0.4934210526315789,0.9823113207547169,0.2855818053638922
0.4934210526315789,0.9834905660377359,0.28419025719985735
0.5263157894736842,0.9834905660377359,0.27657564757999076
0.5263157894736842,0.9870283018867925,0.264237727160772
0.5723684210526315,0.9870283018867925,0.24541528860476855
0.5723684210526315,0.9893867924528302,0.24114735757780714
0.6118421052631579,0.9893867924528302,0.23186555215343457
0.6118421052631579,0.9917452830188679,0.22576234091483083
0.631578947368421,0.9917452830188679,0.21702718938430623
0.631578947368421,0.9929245283018868,0.21648100853815766
0.7302631578947368,0.9929245283018868,0.1863456976785083
0.7302631578947368,0.9941037735849056,0.18508167764752428
0.756578947368421,0.9941037735849056,0.17921511520572989
0.756578947368421,0.9952830188679245,0.17777738135671384
0.8355263157894737,0.9952830188679245,0.16082632503160138
0.8355263157894737,0.9964622641509434,0.16043562446035675
0.8552631578947368,0.9964622641509434,0.1557623830998778
0.8552631578947368,0.9988207547169812,0.1517185447997707
0.9342105263157895,0.9988207547169812,0.11806240242753613
0.9342105263157895,1.0,0.11775121961984417
1.0,1.0,0.07078722717778423
