threshold,auc,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp
0.01,0.9637304493545183,0.848,1.0,0.9177489177489178,0,152,0,848
0.02661016949152542,0.9637304493545183,0.848,1.0,0.9177489177489178,0,152,0,848
0.043220338983050846,0.9637304493545183,0.848,1.0,0.9177489177489178,0,152,0,848
0.059830508474576265,0.9637304493545183,0.848,1.0,0.9177489177489178,0,152,0,848
0.07644067796610168,0.9637304493545183,0.8496993987975952,1.0,0.9187432286023836,2,150,0,848
0.09305084745762711,0.9637304493545183,0.8522613065326633,1.0,0.9202387411828541,5,147,0,848
0.10966101694915252,0.9637304493545183,0.8557013118062563,1.0,0.9222403480152257,9,143,0,848
0.12627118644067795,0.9637304493545183,0.859026369168357,0.9988207547169812,0.9236641221374046,13,139,1,847
0.14288135593220339,0.9637304493545183,0.8634046890927625,0.9988207547169812,0.9261891744122471,18,134,1,847
0.1594915254237288,0.9637304493545183,0.8693415637860082,0.9964622641509434,0.9285714285714286,25,127,3,845
0.17610169491525424,0.9637304493545183,0.8773388773388774,0.9952830188679245,0.932596685082873,34,118,4,844
0.19271186440677965,0.9637304493545183,0.8900634249471459,0.9929245283018868,0.9386845039018952,48,104,6,842
0.20932203389830506,0.9637304493545183,0.8957446808510638,0.9929245283018868,0.941834451901566,54,98,6,842
0.2259322033898305,0.9637304493545183,0.9003215434083601,0.9905660377358491,0.9432902863559798,59,93,8,840
0.2425423728813559,0.9637304493545183,0.9059459459459459,0.9882075471698113,0.9452904681331077,65,87,10,838
0.2591525423728813,0.9637304493545183,0.9117647058823529,0.9870283018867925,0.9479048697621744,71,81,11,837
0.27576271186440676,0.9637304493545183,0.912472647702407,0.9834905660377359,0.9466515323496028,72,80,14,834
0.2923728813559322,0.9637304493545183,0.9234184239733629,0.9811320754716981,0.9514008004574043,83,69,16,832
0.3089830508474576,0.9637304493545183,0.9263392857142857,0.9787735849056604,0.9518348623853211,86,66,18,830
0.325593220338983,0.9637304493545183,0.9272116461366181,0.9764150943396226,0.9511774842044802,87,65,20,828
0.34220338983050846,0.9637304493545183,0.9302587176602924,0.9752358490566038,0.952216465169833,90,62,21,827
0.35881355932203385,0.9637304493545183,0.9302587176602924,0.9752358490566038,0.952216465169833,90,62,21,827
0.3754237288135593,0.9637304493545183,0.9387060158910329,0.9752358490566038,0.9566223250433776,98,54,21,827
0.3920338983050847,0.9637304493545183,0.9417808219178082,0.972877358490566,0.95707656612529,101,51,23,825
0.4086440677966101,0.9637304493545183,0.9504036908881199,0.9716981132075472,0.960932944606414,109,43,24,824
0.42525423728813555,0.9637304493545183,0.9503464203233256,0.9705188679245284,0.9603267211201867,109,43,25,823
0.441864406779661,0.9637304493545183,0.9569266589057043,0.9693396226415094,0.9630931458699473,115,37,26,822
0.45847457627118643,0.9637304493545183,0.9601406799531067,0.9658018867924528,0.9629629629629629,118,34,29,819
0.4750847457627118,0.9637304493545183,0.9612220916568742,0.964622641509434,0.96291936433196,119,33,30,818
0.49169491525423725,0.9637304493545183,0.9611307420494699,0.9622641509433962,0.9616971125515615,119,33,32,816
0.5083050847457626,0.9637304493545183,0.9633136094674556,0.9599056603773585,0.9616066154754873,121,31,34,814
0.5249152542372881,0.9637304493545183,0.970131421744325,0.9575471698113207,0.9637982195845697,127,25,36,812
0.5415254237288135,0.9637304493545183,0.9759326113116726,0.9563679245283019,0.9660512209648601,132,20,37,811
0.5581355932203389,0.9637304493545183,0.9770531400966184,0.9540094339622641,0.9653937947494033,133,19,39,809
0.5747457627118644,0.9637304493545183,0.9780487804878049,0.9457547169811321,0.9616306954436451,134,18,46,802
0.5913559322033898,0.9637304493545183,0.9815270935960592,0.9398584905660378,0.9602409638554217,137,15,51,797
0.6079661016949152,0.9637304493545183,0.9826946847960445,0.9375,0.9595654797827399,138,14,53,795
0.6245762711864407,0.9637304493545183,0.9849246231155779,0.9245283018867925,0.9537712895377128,140,12,64,784
0.641186440677966,0.9637304493545183,0.9860406091370558,0.9162735849056604,0.9498777506112469,141,11,71,777
0.6577966101694914,0.9637304493545183,0.9895697522816167,0.8950471698113207,0.939938080495356,144,8,89,759
0.6744067796610169,0.9637304493545183,0.9907651715039578,0.8856132075471698,0.9352428393524284,145,7,97,751
0.6910169491525423,0.9637304493545183,0.9904891304347826,0.8596698113207547,0.9204545454545454,145,7,119,729
0.7076271186440677,0.9637304493545183,0.9900990099009901,0.8254716981132075,0.9003215434083601,145,7,148,700
0.7242372881355932,0.9637304493545183,0.9911894273127754,0.7959905660377359,0.8829300196206671,146,6,173,675
0.7408474576271186,0.9637304493545183,0.9922839506172839,0.7582547169811321,0.8596256684491979,147,5,205,643
0.757457627118644,0.9637304493545183,0.993485342019544,0.7193396226415094,0.8344733242134063,148,4,238,610
0.7740677966101694,0.9637304493545183,0.9964601769911504,0.6639150943396226,0.7968860580325549,150,2,285,563
0.7906779661016948,0.9637304493545183,0.996116504854369,0.6049528301886793,0.7527512839325018,150,2,335,513
0.8072881355932202,0.9637304493545183,0.995575221238938,0.5306603773584906,0.6923076923076923,150,2,398,450
0.8238983050847457,0.9637304493545183,0.9949748743718593,0.4669811320754717,0.6356340288924559,150,2,452,396
0.8405084745762711,0.9637304493545183,0.9969879518072289,0.3903301886792453,0.5610169491525424,151,1,517,331
0.8571186440677966,0.9637304493545183,1.0,0.3136792452830189,0.47755834829443444,152,0,582,266
0.873728813559322,0.9637304493545183,1.0,0.23938679245283018,0.38629876308277833,152,0,645,203
0.8903389830508474,0.9637304493545183,1.0,0.15566037735849056,0.2693877551020408,152,0,716,132
