fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0011792452830188679,0.9775
0.0,0.003537735849056604,0.9725
0.0,0.007075471698113208,0.97
0.0,0.01179245283018868,0.965
0.0,0.01650943396226415,0.9625
0.006578947368421052,0.02122641509433962,0.96
0.013157894736842105,0.0294811320754717,0.9575
0.013157894736842105,0.03419811320754717,0.955
0.019736842105263157,0.049528301886792456,0.9525
0.02631578947368421,0.060141509433962265,0.95
0.02631578947368421,0.07547169811320754,0.9475
0.03289473684210526,0.09551886792452831,0.945
0.039473684210526314,0.1179245283018868,0.9425
0.05263157894736842,0.13561320754716982,0.94
0.06578947368421052,0.16391509433962265,0.9375
0.07236842105263158,0.19221698113207547,0.935
0.07236842105263158,0.21816037735849056,0.9325
0.08552631578947369,0.2417452830188679,0.93
0.09210526315789473,0.2641509433962264,0.9275
0.09868421052631579,0.29009433962264153,0.925
0.10526315789473684,0.30778301886792453,0.9225
0.10526315789473684,0.33490566037735847,0.92
0.125,0.35259433962264153,0.9175
0.125,0.37735849056603776,0.915
0.13157894736842105,0.3938679245283019,0.9125
0.13815789473684212,0.4186320754716981,0.91
0.15789473684210525,0.4386792452830189,0.9075
0.17105263157894737,0.4811320754716981,0.9025
0.17105263157894737,0.4988207547169811,0.9
0.19736842105263158,0.5200471698113207,0.8975
0.20394736842105263,0.5389150943396226,0.895
0.21710526315789475,0.5566037735849056,0.8925
0.2236842105263158,0.5860849056603774,0.89
0.23026315789473684,0.6002358490566038,0.8875
0.24342105263157895,0.6179245283018868,0.885
0.2631578947368421,0.6356132075471698,0.8825
0.27631578947368424,0.6568396226415094,0.88
0.28289473684210525,0.6721698113207547,0.8775
0.29605263157894735,0.6851415094339622,0.875
0.3026315789473684,0.6945754716981132,0.8725
0.3223684210526316,0.7063679245283019,0.87
0.3355263157894737,0.7158018867924528,0.8675
0.34210526315789475,0.7311320754716981,0.865
0.34868421052631576,0.7429245283018868,0.8625
0.35526315789473684,0.7476415094339622,0.86
0.3618421052631579,0.7570754716981132,0.8575
0.3684210526315789,0.7759433962264151,0.855
0.375,0.785377358490566,0.8525
0.3881578947368421,0.7912735849056604,0.85
0.3881578947368421,0.7971698113207547,0.8475
0.40789473684210525,0.8066037735849056,0.845
0.42105263157894735,0.8113207547169812,0.8425
0.4407894736842105,0.8183962264150944,0.84
0.4473684210526316,0.8278301886792453,0.8375
0.48026315789473684,0.8313679245283019,0.835
0.4934210526315789,0.8360849056603774,0.8325
0.5,0.8384433962264151,0.83
0.5,0.8525943396226415,0.8275
0.5131578947368421,0.8573113207547169,0.825
0.5131578947368421,0.8655660377358491,0.8225
0.5263157894736842,0.8702830188679245,0.8175
0.5394736842105263,0.8738207547169812,0.815
0.5460526315789473,0.8773584905660378,0.8125
0.5592105263157895,0.8820754716981132,0.81
0.5657894736842105,0.8844339622641509,0.8075
0.5657894736842105,0.8891509433962265,0.805
0.5723684210526315,0.8938679245283019,0.8025
0.5921052631578947,0.8950471698113207,0.8
0.5921052631578947,0.8985849056603774,0.7975
0.5921052631578947,0.9009433962264151,0.795
0.5921052631578947,0.9044811320754716,0.7925
0.5986842105263158,0.9080188679245284,0.79
0.5986842105263158,0.9115566037735849,0.7875
0.6052631578947368,0.9198113207547169,0.785
0.6118421052631579,0.9245283018867925,0.7825
0.625,0.9268867924528302,0.78
0.6381578947368421,0.9304245283018868,0.7775
0.6381578947368421,0.9351415094339622,0.775
0.6381578947368421,0.9375,0.7725
0.6447368421052632,0.9433962264150944,0.77
0.6513157894736842,0.9481132075471698,0.7675
0.6513157894736842,0.9516509433962265,0.765
0.6578947368421053,0.9563679245283019,0.7625
0.6644736842105263,0.9587264150943396,0.76
0.6776315789473685,0.9634433962264151,0.7575
0.6776315789473685,0.9681603773584906,0.755
0.6842105263157895,0.9681603773584906,0.7525
0.6973684210526315,0.9705188679245284,0.75
0.6973684210526315,0.9716981132075472,0.7475
0.7039473684210527,0.9716981132075472,0.745
0.7171052631578947,0.9740566037735849,0.74
0.7236842105263158,0.9764150943396226,0.7375
0.7236842105263158,0.9799528301886793,0.735
0.7302631578947368,0.9811320754716981,0.7325
0.756578947368421,0.9823113207547169,0.73
0.7631578947368421,0.9834905660377359,0.7275
0.7697368421052632,0.9834905660377359,0.725
0.7697368421052632,0.9870283018867925,0.715
0.7828947368421053,0.9882075471698113,0.71
0.7960526315789473,0.9882075471698113,0.7075
0.8092105263157895,0.9882075471698113,0.7
0.8223684210526315,0.9893867924528302,0.6975
0.8223684210526315,0.9917452830188679,0.6925
0.8289473684210527,0.9917452830188679,0.6875
0.8289473684210527,0.9929245283018868,0.685
0.8355263157894737,0.9929245283018868,0.6825
0.8421052631578947,0.9941037735849056,0.68
0.8552631578947368,0.9941037735849056,0.6775
0.8552631578947368,0.9952830188679245,0.675
0.868421052631579,0.9952830188679245,0.67
0.868421052631579,0.9964622641509434,0.6675
0.875,0.9964622641509434,0.665
0.8881578947368421,0.9964622641509434,0.6575
0.9013157894736842,0.9964622641509434,0.65
0.9013157894736842,0.9988207547169812,0.64
0.9144736842105263,0.9988207547169812,0.62
0.9144736842105263,1.0,0.6025
0.9671052631578947,1.0,0.5125
0.9802631578947368,1.0,0.505
1.0,1.0,0.3625
